	hit_rate
16228948	0.9643835616438357
8909380	0.958904109589041
14078522	0.9534246575342465
13006928	0.23835616438356164
7898757	0.0
11254337	0.08767123287671233
16068508	0.11506849315068493
654641	0.9780821917808219
14859779	0.9972602739726028
4839375	0.8383561643835616
14281484	0.29041095890410956
8428885	0.6821917808219178
1557529	0.9616438356164384
18042820	0.18356164383561643
5393269	0.0
5851860	0.11232876712328767
17144596	0.2328767123287671
6153123	0.9260273972602739
13748272	0.0
4172374	0.9863013698630136
9174553	0.2054794520547945
2516036	0.9780821917808219
9303822	0.0
17808419	0.24383561643835616
3052357	0.6438356164383562
15236748	0.4657534246575342
1471992	0.9561643835616438
1552495	0.8958904109589041
18111734	0.07671232876712329
9167855	0.0
1080947	0.8438356164383561
6504741	0.989041095890411
17923073	1.0
18359284	0.07397260273972603
13308717	0.043835616438356165
14555547	0.7287671232876712
8327493	0.0
12136080	0.5835616438356165
9645396	0.12054794520547946
9839577	0.19726027397260273
18490248	0.07123287671232877
17831408	0.4410958904109589
9048768	0.6191780821917808
2560403	0.4410958904109589
1051837	0.989041095890411
12190450	0.0
18182249	0.10410958904109589
9778002	0.23835616438356164
15720360	0.8575342465753425
3175657	0.852054794520548
9111945	0.4602739726027397
18012316	0.9835616438356164
1157084	0.40821917808219177
16707824	0.4054794520547945
13671213	0.38082191780821917
16568219	0.2273972602739726
8295931	1.0
14536547	0.9972602739726028
15043283	0.22465753424657534
639945	0.06027397260273973
5698345	0.7917808219178082
7842682	0.8383561643835616
1370927	0.0
16245464	0.684931506849315
7789103	0.0
6144355	0.1917808219178082
12627455	1.0
16884487	0.9945205479452055
3510544	0.010958904109589041
18053971	0.2
15788511	0.5698630136986301
6810048	0.0
5798058	0.9945205479452055
15430980	0.9945205479452055
12610053	0.915068493150685
683355	0.9945205479452055
9856629	0.13150684931506848
16476510	0.8136986301369863
10576630	0.0
17257406	0.22465753424657534
18501679	0.2136986301369863
16533016	0.049315068493150684
8271459	0.9506849315068493
6239043	0.7726027397260274
5059964	0.5013698630136987
15084404	0.23835616438356164
14821131	0.4191780821917808
16981215	0.2273972602739726
989831	0.915068493150685
11299967	0.13972602739726028
17174876	0.021917808219178082
4589416	0.31232876712328766
6423582	0.9205479452054794
12814508	1.0
11627514	0.9178082191780822
18411608	0.9726027397260274
17560598	0.2136986301369863
951044	0.9753424657534246
18201732	0.3178082191780822
17883432	0.2465753424657534
16759239	1.0
6390085	1.0
5909633	0.9561643835616438
308582	1.0
11109046	1.0
404691	0.9753424657534246
16779171	0.0
288038	0.9917808219178083
8115918	1.0
18109102	0.5232876712328767
17880196	0.39452054794520547
4510204	0.0
8867000	0.8328767123287671
6076275	1.0
6201466	0.9917808219178083
892469	0.8958904109589041
8012663	0.0
5805878	1.0
13605429	1.0
17865517	0.4904109589041096
300407	1.0
14500599	0.27123287671232876
12814880	1.0
13224934	1.0
16696933	0.9835616438356164
17811587	0.15342465753424658
16696832	0.8657534246575342
16696693	0.4931506849315068
6261398	0.5287671232876713
12814934	1.0
5884952	1.0
4777199	0.0
12814678	1.0
10026290	1.0
2784096	0.8849315068493151
14120858	0.2410958904109589
3209078	0.936986301369863
14284554	0.20821917808219179
11859089	0.4931506849315068
12036625	0.0
3123678	0.057534246575342465
5175424	1.0
15455071	0.07945205479452055
16599206	0.4821917808219178
16758832	0.9835616438356164
16758345	0.9863013698630136
16759072	0.9342465753424658
2203321	0.1643835616438356
16949576	1.0
14328478	0.9780821917808219
6201593	0.9863013698630136
13476058	0.8082191780821918
6201491	0.9917808219178083
6201435	0.9917808219178083
6201377	1.0
3250171	0.2136986301369863
300343	1.0
822309	1.0
12815173	1.0
12815098	1.0
12814568	1.0
12814547	1.0
12814469	1.0
951058	0.9068493150684932
8880869	0.9123287671232877
1869249	1.0
300371	1.0
13301943	0.27671232876712326
1403949	1.0
1273424	0.16712328767123288
14085238	0.0
11824444	1.0
16215239	1.0
9920792	0.0
17588101	0.9917808219178083
17981168	0.27671232876712326
9392107	0.8273972602739726
11360700	0.9287671232876712
5526921	0.20821917808219179
6574654	1.0
2509881	0.1726027397260274
9127517	1.0
13453070	1.0
13845538	0.9780821917808219
16703741	0.4602739726027397
10370748	0.16986301369863013
14761805	0.6575342465753424
15154	0.40821917808219177
16179654	1.0
9138432	0.9561643835616438
14695050	0.0
15412855	1.0
13000071	0.5863013698630137
404795	1.0
16590143	0.4821917808219178
13576960	0.0
12591975	1.0
16589205	0.38904109589041097
13378317	0.4547945205479452
1641253	0.0
2430715	0.03561643835616438
776201	1.0
1444920	1.0
13175834	0.0
16780292	1.0
16780115	0.7506849315068493
17697566	0.24383561643835616
9111410	0.1726027397260274
10235519	0.9698630136986301
288061	0.9753424657534246
16225594	0.4931506849315068
12149510	0.9205479452054794
2387536	1.0
10784388	1.0
15844552	0.7041095890410959
4782664	0.2465753424657534
15327483	0.8410958904109589
4496449	0.2054794520547945
4491403	0.9232876712328767
4090410	0.9753424657534246
3413115	0.9178082191780822
1914160	0.9287671232876712
12918311	0.9123287671232877
262430	0.2356164383561644
11662340	0.9917808219178083
13418973	0.9726027397260274
17512016	0.7808219178082192
15939143	0.6876712328767123
15523907	0.4767123287671233
18426039	0.9835616438356164
16838403	0.6273972602739726
7025105	0.00821917808219178
17675972	0.4904109589041096
17528183	0.4547945205479452
16234017	0.09863013698630137
6286975	1.0
18464236	0.4684931506849315
8106112	0.9698630136986301
3125907	1.0
13753198	0.9205479452054794
1180742	0.7315068493150685
8825870	0.4904109589041096
10410020	0.852054794520548
12901557	0.9972602739726028
14787410	0.0136986301369863
14407767	0.7972602739726027
16437992	0.5013698630136987
18241905	0.3506849315068493
17946343	1.0
8344112	0.0
15356914	0.4767123287671233
11773492	0.0
16798213	0.0547945205479452
804614	0.9506849315068493
18392195	0.9835616438356164
3908406	0.989041095890411
5918354	0.9041095890410958
6378358	0.18082191780821918
14633517	0.7726027397260274
18369038	0.989041095890411
14150271	0.726027397260274
18075939	0.0
9824768	0.0547945205479452
15681036	0.0136986301369863
17798943	0.136986301369863
10502443	0.30684931506849317
15452811	0.6301369863013698
18124977	0.7643835616438356
11416478	0.9726027397260274
4099964	0.9972602739726028
12436342	0.0
8001276	0.9698630136986301
13189654	1.0
3986579	1.0
15990498	1.0
14789327	0.9397260273972603
15990773	0.936986301369863
15990734	0.8712328767123287
15990662	0.7835616438356164
14021689	0.821917808219178
4616597	0.8657534246575342
16690152	0.7835616438356164
7023661	0.07123287671232877
9564654	0.6794520547945205
8969933	0.23835616438356164
12968553	0.0
9823038	0.030136986301369864
6937614	0.0
8475318	0.3863013698630137
16700084	0.0821917808219178
14009312	0.024657534246575342
14726349	0.25753424657534246
14138133	0.9287671232876712
2978553	0.9452054794520548
10596993	0.0
6730240	0.42191780821917807
16690643	0.0
13999043	0.0410958904109589
17080546	0.8493150684931506
17513928	0.2493150684931507
11508488	0.958904109589041
16882177	0.08493150684931507
8034435	0.8465753424657534
15898567	0.9753424657534246
11180228	0.9342465753424658
6263667	0.7178082191780822
16617589	0.989041095890411
14454364	0.9808219178082191
13995455	0.4904109589041096
14642492	0.33424657534246577
1412311	0.8547945205479452
14649888	0.0821917808219178
16811850	0.4821917808219178
4031714	0.863013698630137
16220943	0.9452054794520548
9732346	0.947945205479452
